# Array names from reduction file: 
# 	 Col 1: qlam_blank
# 	 Col 2: perp_rb_norm
# 	 Col 3: perp_err_rb_norm
# Time saved: 2024-05-12 09:00
# Other notes: -
# ---------------------------------------- #
# Wavelength Pol Error 
4.0307775899 0.9046001002 0.0016579174
4.1289151988 0.9332056448 0.0015893920
4.2270528077 0.7127022654 0.0022888160
4.3251904166 0.3437039979 0.0028825164
4.4233280255 0.1001036102 0.0030571322
4.5214656344 0.0555713897 0.0031143783
4.6196032433 0.1475136100 0.0031549116
4.7177408522 0.2648185569 0.0031592161
4.8158784611 0.4066543395 0.0031168595
4.9140160700 0.5706560756 0.0029685301
5.0121536789 0.7561257669 0.0026572436
5.1102912878 0.9023277481 0.0022590428
5.2084288967 0.9077680585 0.0023170439
5.3065665056 0.7272353383 0.0030580041
5.4047041145 0.4368936262 0.0037784069
5.5028417234 0.2161791547 0.0041197675
5.6009793323 0.0869406941 0.0043374015
5.6991169411 0.0086136401 0.0044834783
5.7972545500 0.0124689290 0.0046473349
5.8953921589 0.0299880332 0.0048129314
5.9935297678 0.0741592354 0.0049845372
6.0916673767 0.1634131619 0.0051141562
6.1898049856 0.2715743813 0.0051974931
6.2879425945 0.3862629817 0.0052411409
6.3860802034 0.5047278294 0.0051903415
6.4842178123 0.6192658774 0.0050693058
6.5823554212 0.7240847518 0.0048739854
6.6804930301 0.7994297920 0.0047151342
6.7786306390 0.8615211500 0.0045954757
6.8767682479 0.9178972670 0.0044325271
6.9749058568 0.9631551837 0.0042631267
7.0730434657 0.9795789800 0.0042933561
7.1711810746 1.0003611603 0.0043091397
7.2693186835 1.0048044342 0.0044330991
7.3674562924 0.9970256867 0.0047026609
7.4655939013 1.0071602372 0.0048480955
7.5637315102 0.9940781636 0.0051338472
7.6618691191 0.9860815294 0.0054255469
7.7600067280 0.9767025896 0.0057513857
7.8581443369 0.9526963191 0.0062273021
7.9562819458 0.9282387378 0.0066925311
8.0544195547 0.9065390584 0.0071061515
8.1525571636 0.8427839571 0.0079482473
8.2506947725 0.7868672056 0.0087943937
8.3488323814 0.7423642901 0.0095832607
8.4469699903 0.6562876106 0.0106053287
8.5451075992 0.5238415075 0.0118282403
8.6432452081 0.3792575048 0.0130497930
8.7413828170 0.2807549658 0.0141838745
8.8395204259 0.2937087394 0.0152764511
8.9376580348 0.4586755906 0.0156171813
9.0357956437 0.7044173941 0.0141268510
9.1339332526 0.8838238276 0.0122823377
9.2320708615 0.9542349968 0.0115841525
9.3302084704 0.9254230726 0.0122552070
9.4283460793 0.8400816109 0.0136167261
9.5264836882 0.7678583270 0.0148294846
9.6246212971 0.7094167976 0.0158865527
9.7227589060 0.6365130068 0.0169097422
9.8208965149 0.5563839475 0.0179479391
9.9190341238 0.4802326784 0.0191665939
10.0171717327 0.4040326322 0.0204658840
10.1153093416 0.3281784881 0.0215175459
10.2134469504 0.2579903281 0.0223440006
10.3115845593 0.1935687721 0.0231994578
10.4097221682 0.1345021260 0.0241514535
10.5078597771 0.0837507248 0.0251295709
10.6059973860 0.0445894234 0.0260315199
10.7041349949 0.0197624478 0.0267182572
10.8022726038 0.0084140907 0.0271973192
10.9004102127 0.0004699465 0.0278500314
10.9985478216 -0.0156412594 0.0291035446
11.0966854305 -0.0361495809 0.0307914622
11.1948230394 -0.0438933784 0.0322368561
11.2929606483 -0.0270829881 0.0329721208
11.3910982572 0.0034198045 0.0334880809
11.4892358661 0.0360125409 0.0344815446
11.5873734750 0.0699503363 0.0361251491
11.6855110839 0.1089070093 0.0381272496
11.7836486928 0.1537301405 0.0399582574
11.8817863017 0.1991707492 0.0407945229
11.9799239106 0.2330298210 0.0398482733
