# Array names from reduction file: 
# 	 Col 1: qlam_blank
# 	 Col 2: para_p35_shim_norm
# 	 Col 3: para_p35_shim_norm_errors
# Time saved: 2024-03-25 08:34
# Other notes: -
# ---------------------------------------- #
# Wavelength Shim Error 
4.0244008992 1.0106975942 0.0061241354
4.1205317767 0.9997348566 0.0060635835
4.2166626543 0.9809051068 0.0060149910
4.3127935318 0.9926760365 0.0062032610
4.4089244093 0.9955889475 0.0063009356
4.5050552868 1.0071141472 0.0064451696
4.6011861643 0.9999450588 0.0064938529
4.6973170418 1.0082934102 0.0067007651
4.7934479193 1.0111990170 0.0067876068
4.8895787968 1.0037857255 0.0069335987
4.9857096743 0.9985732018 0.0071586073
5.0818405518 0.9792266984 0.0072640543
5.1779714293 0.9730541132 0.0074911262
5.2741023068 0.9668792968 0.0076404413
5.3702331843 0.9793204232 0.0079513343
5.4663640618 0.9791694664 0.0081656951
5.5624949393 0.9938036173 0.0085612587
5.6586258168 1.0032063191 0.0088299838
5.7547566943 1.0262009043 0.0093713995
5.8508875719 0.9958774275 0.0093190329
5.9470184494 1.0104679629 0.0097683133
6.0431493269 1.0140375975 0.0101512105
6.1392802044 1.0210520558 0.0105061421
6.2354110819 0.9990490979 0.0106713817
6.3315419594 1.0135592711 0.0111429980
6.4276728369 1.0214270632 0.0115941735
6.5238037144 1.0306041712 0.0120654270
6.6199345919 1.0145058474 0.0120749794
6.7160654694 1.0451419426 0.0130586479
6.8121963469 1.0201691276 0.0131238426
6.9083272244 0.9918019330 0.0130922206
7.0044581019 1.0176681486 0.0138606079
7.1005889794 1.0229211803 0.0142863757
7.1967198569 1.0351319016 0.0148420942
7.2928507344 1.0112516989 0.0151246482
7.3889816119 1.0207398746 0.0158301890
7.4851124895 1.0298171643 0.0164391203
7.5812433670 0.9793984545 0.0162038005
7.6773742445 0.9873605709 0.0167914831
7.7735051220 0.9857645399 0.0173014629
7.8696359995 0.9958509016 0.0180145481
7.9657668770 0.9918860795 0.0184907092
8.0618977545 0.9574831707 0.0184952639
8.1580286320 0.9561769029 0.0192441533
8.2541595095 0.9625317635 0.0200108291
8.3502903870 0.9453601337 0.0202734954
8.4464212645 0.9056898442 0.0203544029
8.5425521420 0.8677662029 0.0203669040
8.6386830195 0.8161787092 0.0201703866
8.7348138970 0.7291541137 0.0190768891
8.8309447745 0.6643029369 0.0183560814
8.9270756520 0.6327632141 0.0182708349
9.0232065295 0.5944816955 0.0178437901
9.1193374071 0.5876713052 0.0182227007
9.2154682846 0.6490890927 0.0203094313
9.3115991621 0.7210009324 0.0226595315
9.4077300396 0.7611584218 0.0241385230
9.5038609171 0.8002593985 0.0256295783
9.5999917946 0.8508591140 0.0276322146
9.6961226721 0.8848390199 0.0295295964
9.7922535496 0.8906711763 0.0308024218
9.8883844271 0.8937252698 0.0320207233
9.9845153046 0.9110743742 0.0336228201
10.0806461821 0.9513380420 0.0363224741
10.1767770596 1.0042417395 0.0399963470
10.2729079371 1.0083990785 0.0415851801
10.3690388146 0.9425038414 0.0396045917
10.4651696921 0.9000458970 0.0385453611
10.5613005696 0.9395937548 0.0408232370
10.6574314471 1.0083310321 0.0449673158
10.7535623247 1.0034355699 0.0463417130
10.8496932022 0.9211506717 0.0440034502
10.9458240797 0.8650331073 0.0425161551
11.0419549572 0.9055989248 0.0450185395
11.1380858347 1.0003084282 0.0500306672
11.2342167122 1.0701459543 0.0543396817
11.3303475897 1.0806172783 0.0566526061
11.4264784672 1.0541556987 0.0579365465
11.5226093447 1.0131227417 0.0582154149
11.6187402222 0.9881529528 0.0578370159
11.7148710997 1.0424567986 0.0613341869
